uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF
"a1c240cf-c460-43ee-ac16-fdb243c23e11","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_04","CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","species",,,100,5,95,4.0,0.34,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"84b8bbc0-7e32-4c1b-adc0-6645911b1ae8","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_01","PREM","Prunus emarginata (Douglas ex Hook.) D. Dietr.","species",,,25,65,35,9.0,1.70,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"4b3bdffa-4ec9-4346-8b58-7f8a669dbf3e","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_01","CECO","Ceanothus cordulatus Kellogg","species",,,15,90,10,9.0,1.70,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"75c057ee-77c8-4c2f-b17a-2155de4142e3","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","51_100","41_11","ARPA6","Arctostaphylos patula Greene","species",,,100,80,20,10.0,0.84,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"9b253f0f-a976-49f7-9f5d-d3f329ecabe5","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","31_100","21_01","RIBES","Ribes sp.","genus",,,5,100,0,30.0,1.50,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"07795ac4-8e41-48b4-b92c-c62433eb12fe","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","51_100","41_12","ARPA6","Arctostaphylos patula Greene","species",,,100,45,55,2.0,0.46,"proofed and no errors","kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"b43c6beb-619d-475e-b200-e02e9d065045","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_05","CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","species",,,100,70,30,3.0,0.80,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"818c093b-e4d1-4a92-8b6f-d48a1fc3a34b","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_03","CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","species",,,100,40,60,4.0,0.76,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"422bbb89-1beb-4ea6-8931-303a29da0d0b","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_02","ARPA6","Arctostaphylos patula Greene","species",,,100,0,100,2.0,0.54,"proofed and no errors","kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"0c121de2-75f4-4679-833f-48a75e0cb942","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_07","CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","species",,,100,65,35,4.0,0.66,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"54f269a6-bd55-4318-9c5e-b919509a5823","TEAK_043.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_043","21_100","21_01","RIBES","Ribes sp.","genus",,,100,95,5,4.0,1.30,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
"3c9ce152-ac76-4010-8481-18ae34fb9d56","TEAK_058.basePlot.vst","2015-09-30","vst_TEAK_2015","D17","TEAK","TEAK_058","41_100","41_09","CHSE11","Chrysolepis sempervirens (Kellogg) Hjelmqvist","species",,,100,0,100,1.0,0.25,,"kzias@field-ops.org","emccarthy@field-ops.org","legacyData"
